node,betweenness,pagerank,in_degree,out_degree
IND000000ACB,0.22022768627996903,0.010075368122468524,45,49
IND562132AAA,0.1249428383249191,0.008606400427067725,36,35
IND501359AAE,0.09263166084939613,0.007977618261747303,30,27
IND712311AAA,0.09065944258450837,0.006648063483160932,24,22
IND421302AAG,0.06962523683824724,0.006028927739007253,29,29
IND160002AAC,0.0550782085482796,0.008369376920500953,32,29
IND131028AAB,0.04783690260196255,0.00541423200681293,20,20
IND781018AAB,0.044541680004588025,0.004345763178683611,17,15
IND411033AAA,0.04325401183047964,0.005900847983425708,23,20
IND600056AAB,0.04214619583060069,0.004241143924960302,18,18
