node,betweenness,pagerank,in_degree,out_degree
IND000000AAL,0.0,0.0004636741420763281,1,1
IND411033AAA,0.04325401183047964,0.005900847983425708,23,20
IND000000AAQ,0.0,0.00011885703607827519,0,1
IND700028AAB,0.00040354948406964695,0.0005792400869930494,2,1
IND000000AAS,0.0032247471430447918,0.0005153188991299402,1,1
IND783370AAC,0.0032225579053373615,0.000556987164669012,1,1
IND000000AAZ,0.0016149276821810646,0.0009349240934943906,2,2
IND444203AAA,0.0016105492067662042,0.0009686419287449588,2,1
IND444303AAA,0.0,0.00042819132645472596,1,1
IND000000ABA,0.0004053738488258389,0.0004311251241076816,1,1
IND683565AAA,0.0004031846111184086,0.0004855856182516378,1,1
IND000000ABD,0.0004031846111184086,0.0005135343630341067,1,1
IND562132AAA,0.1249428383249191,0.008606400427067725,36,35
IND000000ABG,0.0,0.00011885703607827519,0,1
IND501359AAF,0.0,0.0005078655499001886,3,0
IND000000ACA,0.008060043492855789,0.0030052189390192188,13,9
IND140406AAA,0.00020250448793730024,0.00040773633535056656,1,1
IND142001AAB,0.001200067136623028,0.0006333288880098934,2,2
IND142401AAA,0.0,0.0007038600152273609,2,1
IND143001AAA,0.0,0.000935833244929063,3,1
IND144001AAB,0.003630485864821869,0.0025622110905290946,5,5
IND144514AAA,0.00040500897587460047,0.0003259218866605443,1,2
IND147301AAA,0.00020250448793730024,0.0006795344058834545,2,2
IND152026AAA,0.004246026533561014,0.0018216865631328868,6,7
IND160002AAC,0.0550782085482796,0.008369376920500953,32,29
IND000000ACB,0.22022768627996903,0.010075368122468524,45,49
IND000000AEL,0.0,0.00028821384655275113,1,1
IND110024AAA,0.00040610359472831564,0.002232061582790346,3,1
IND110030AAD,0.0,0.0003698120362145451,2,1
IND110037AAK,0.0,0.00028323276389173715,1,1
IND110043AAA,0.0012117430710626561,0.000716824224631342,3,2
IND110043AAC,0.0,0.0002893207538107543,1,1
IND110052AAA,0.0,0.00028323276389173715,1,1
IND110064AAA,0.0008114774435541545,0.00047531192359031573,2,3
IND110085AAB,0.002426405125735219,0.0010323362070661366,4,5
IND110092AAC,0.0008085584599442474,0.0008284487915518944,3,2
IND110095AAB,0.0,0.00026953478657394865,1,1
IND121002AAB,0.0,0.0003014967336487885,1,1
IND121004AAB,0.004889860262105325,0.0021985602554227927,9,7
IND122001AAA,0.0020730410785450293,0.0004519023177235843,2,5
IND122015AAC,0.0,0.0003380246731628911,1,0
IND124103AAA,0.0,0.0002974380737027771,1,1
IND124112AAA,0.0,0.0002916622883949916,1,3
IND125001AAA,0.008983895887731644,0.0029904648823124084,7,8
IND125005AAA,0.005489070491369179,0.001043429972512817,4,5
IND125033AAA,0.0,0.0003745148174350302,2,2
IND127021AAA,0.0012128376899163712,0.000583028823771848,2,1
IND131028AAB,0.04783690260196255,0.00541423200681293,20,20
IND201001AAC,5.091518278193724e-05,0.00041845773964534986,2,2
IND201007AAA,0.0037709810634413326,0.0016102476979154225,8,5
IND201301AAF,0.001635360567450414,0.002559779178707132,8,3
IND201301AAM,0.0,0.00030314720162087557,1,1
IND209304AAA,0.04035938944323359,0.005028656525164548,16,13
IND282002AAD,0.004668943013233845,0.0014334749393937341,6,5
IND301001AAB,0.00322748369017908,0.000950946421051757,5,3
IND301705AAA,0.0012142971817213247,0.0006126003817396987,2,1
IND302014AAA,0.04048963994902146,0.0028512777081730768,10,8
IND302022AAD,0.0,0.00028645581737827555,1,1
IND328001AAA,0.0008447803929217299,0.0005615285140834211,3,3
IND382430AAB,0.0316951913933234,0.0037064490924762924,17,13
IND390022AAA,0.005340844764281608,0.0012561024672307491,5,4
IND421302AAG,0.06962523683824724,0.006028927739007253,29,29
IND462022AAA,0.029637711808032402,0.0041507204057666764,13,9
IND474003AAA,0.007779580423905919,0.0020197611263324472,8,6
IND501359AAE,0.09263166084939613,0.007977618261747303,30,27
IND521225AAB,0.01221073958357229,0.0025606317607761333,8,8
IND600056AAB,0.04214619583060069,0.004241143924960302,18,18
IND712311AAA,0.09065944258450837,0.006648063483160932,24,22
IND751002AAB,0.02158710036050378,0.0031519010329684014,13,6
IND821115AAB,0.00919587735264868,0.002134170077853981,6,5
IND834002AAB,0.007908742842408938,0.0014038667594860126,5,7
IND842001AAA,0.024698797378752718,0.0050498702491540755,12,15
IND000000ACK,0.0,0.00011885703607827519,0,1
IND000000ACN,3.648729512383788e-07,0.00021989453119478262,1,1
IND000000ACT,0.0,0.00011885703607827519,0,3
IND000000ADM,0.0,0.0004942160235258678,1,1
IND683511AAA,0.022768801903177316,0.003097409235058937,13,7
IND000000ADV,0.0,0.00011885703607827519,0,1
IND600044AAC,0.0,0.00042196952142779754,3,0
IND000000AEM,0.0,0.00011885703607827519,0,2
IND110037AAB,0.0,0.00017384023109516528,1,0
IND110064AAB,0.0,0.00016491133617789255,1,0
IND000000AET,0.003226936380752222,0.000466095090073725,1,1
IND000000AFF,3.648729512383788e-07,0.00021989453119478262,1,1
IND734203AAA,0.0,0.0003057905596671737,1,0
IND000000AFG,0.0,0.00011885703607827519,0,2
IND673027AAB,7.297459024767576e-07,0.00016494840849463324,1,2
IND673632AAA,0.0024373513142723706,0.0007443204799139191,2,4
IND000000AFJ,7.297459024767576e-07,0.0004028669556167348,1,2
IND695121AAA,0.00020414641621787293,0.00022707087015978215,1,2
IND695572AAB,0.00020524103507158807,0.0005713633690288396,3,2
IND000000AFR,0.0,0.00011885703607827519,0,1
IND000000AFT,0.0048455127924456705,0.001145719164493201,5,8
IND400072AAB,0.005096989588073895,0.0020078675443615983,11,11
IND400701AAA,0.0008111125706029161,0.0002936649421354543,1,2
IND400706AAA,0.0,0.00021567372250994363,1,1
IND410206AAA,0.00040245486521593173,0.00032190484930440515,2,1
IND410206AAB,0.0,0.0002694607705275372,1,1
IND410209AAA,0.0,0.00022643113211346234,1,0
IND410210AAA,0.0,0.00020661485126487522,1,0
IND110014AAA,0.0,0.002008286554409682,1,1
IND110020AAB,0.0,0.00036685857263826045,1,1
IND110037AAM,0.04133064983259041,0.005057276304490295,21,24
IND110035AAC,0.0,0.00029749415819811133,1,1
IND201301AAD,0.0,0.000385387423070903,1,1
IND202001AAB,0.003163931509524555,0.0009343718517852695,4,4
IND226004AAC,0.0,0.0002531981884609492,1,0
IND250002AAC,0.0,0.0009056523131217866,2,0
IND282001AAA,0.0,0.0006197710145473913,2,2
IND282001AAC,0.0,0.0003017700467594904,1,1
IND781018AAB,0.044541680004588025,0.004345763178683611,17,15
IND811399AAA,0.00026524352315761686,0.0002895947225190999,1,2
IND110039AAA,0.0,0.00030058275599575295,1,1
IND110078AAA,0.0,0.0003552340523553262,1,1
IND110044AAB,0.0026061658663786604,0.0006447464899240916,2,6
IND110005AAA,0.0,0.00026105106478408965,1,0
IND110046AAA,0.0,0.00030370927339583406,1,0
IND110077AAA,0.0,0.00011885703607827519,0,1
IND110083AAA,0.0,0.00037933056795999326,1,1
IND110085AAA,0.0,0.0003075722067618098,1,0
IND110087AAA,0.0,0.00021670934680307092,1,0
IND110093AAA,0.0,0.0004411120673333415,1,1
IND121001AAA,0.0,0.00035410096767219757,1,1
IND121002AAA,0.0,0.00026481520272632255,1,1
IND121004AAA,0.0,0.00038644700826636193,1,1
IND121004AAC,0.0,0.00041702871937357184,1,1
IND121102AAA,0.0,0.0003809859884257887,1,1
IND122001AAD,0.0,0.00017550761334383122,1,1
IND122050AAA,0.0,0.00038604404826999563,2,0
IND122101AAC,0.0,0.00016900672742811164,1,0
IND122001AAJ,0.0012128376899163712,0.00040692424968628166,1,1
IND507123AAA,0.0012106484522089408,0.0004647677909607956,1,1
IND122002AAD,0.0,0.00011885703607827519,0,1
